Date,Open,High,Low,Close,Adj Close,Volume
2012-10-01,239.824997,241.5,237.5,238.5,204.932968,224146
2012-10-03,240,240,235.300003,236.475006,203.192963,209378
2012-10-04,237.975006,240.725006,236.625,238.850006,205.233719,124618
2012-10-05,241.5,249,240.024994,243.125,208.907043,616948
2012-10-08,244.5,248,243,246.149994,211.506287,468618
2012-10-09,247.100006,262.450012,247.074997,254.899994,219.02478,761880
2012-10-10,255.5,257.200012,250.550003,252.175003,216.683319,232950
2012-10-11,252.5,253.875,247.600006,250.300003,215.07222,154518
2012-10-12,250.5,252.699997,246,246.774994,212.043335,75390
2012-10-15,250,250,243,245.274994,210.754425,45048
2012-10-16,245.5,251,244.074997,247.800003,212.924072,161016
2012-10-17,247.600006,249.699997,243.699997,244.25,209.873703,196196
2012-10-18,245.199997,247,243.050003,244.225006,209.852249,151886
2012-10-19,244.274994,245.274994,242.5,242.75,208.584793,341398
2012-10-22,242.75,245.449997,241,244.425003,210.024078,59014
2012-10-23,244.399994,244.399994,239.5,241.225006,207.27446,129694
2012-10-25,243.425003,247.5,241,245.449997,210.904785,92708
2012-10-29,246,247.399994,242.725006,244.550003,210.131485,64842
2012-10-30,247,247,240.5,242.175003,208.090759,42956
2012-10-31,240.975006,243.375,237.725006,241.824997,207.789993,26220
2012-11-01,242.024994,242.5,238.149994,238.5,204.932968,112860
2012-11-02,239.524994,241.949997,236.550003,237.449997,204.030731,82908
2012-11-05,237.550003,238.949997,235.199997,236.274994,203.021103,92194
2012-11-06,239.925003,241.375,237.5,239.975006,206.200394,270226
2012-11-07,241.5,242.5,233.75,234.449997,201.452957,319210
2012-11-08,234,237.5,232.899994,234.824997,201.775208,166608
2012-11-09,236.475006,236.475006,231.350006,232.899994,200.121124,397218
2012-11-11,null,null,null,null,null,null
2012-11-12,230.625,234.074997,229.25,230.324997,197.908539,213354
2012-11-15,235,236.475006,233,234.699997,201.667816,126910
2012-11-16,233,239.949997,231.125,238.524994,204.954453,516924
2012-11-19,238.75,239.199997,235.524994,237.824997,204.352966,46594
2012-11-20,238.125,242,238.024994,240.925003,207.016663,243842
2012-11-21,240.25,240.699997,237,237.675003,204.224106,24630
2012-11-22,236.649994,239.699997,236.5,239.024994,205.384064,404320
2012-11-23,240.050003,245.5,240.050003,241.899994,207.854446,112860
2012-11-26,241,246.5,241,244.375,209.981125,66076
2012-11-27,244.975006,246.449997,241.600006,242.100006,208.026306,55092
2012-11-29,242.899994,248.625,242,246.600006,211.89296,175166
2012-11-30,249.449997,251.899994,245.600006,249.100006,214.041122,258822
2012-12-03,250.975006,250.975006,245.25,247,212.236664,71734
2012-12-04,246.5,248.5,243.574997,244.449997,210.045547,85544
2012-12-05,244.550003,246.975006,242.625,244.199997,209.830734,38900
2012-12-06,245.574997,247.975006,244.024994,247.225006,212.430008,437924
2012-12-07,248.925003,248.949997,246.024994,247.875,212.98851,59166
2012-12-10,249.449997,249.449997,247.100006,247.675003,212.816666,45894
2012-12-11,247.5,251.5,245.5,249.475006,214.363312,437238
2012-12-12,251.449997,252.5,246.050003,247.024994,212.258133,51096
2012-12-13,222.449997,252.5,222.449997,247.975006,213.074463,122844
2012-12-14,249.975006,250.5,247.300003,249.324997,214.234451,72168
2012-12-17,250,250.875,247.524994,248.824997,213.80481,27128
2012-12-18,249.5,249.5,245.524994,246.925003,212.172226,46170
2012-12-19,247.475006,249.725006,244.074997,248.824997,213.80481,152552
2012-12-20,249.949997,249.949997,246.300003,247.824997,212.945541,23684
2012-12-21,247.800003,247.800003,244.324997,245.225006,210.711487,44716
2012-12-24,245.5,247,243.5,246.100006,211.463333,22604
2012-12-26,245.524994,250.425003,244.524994,249.824997,214.664047,71786
2012-12-27,249.699997,249.699997,245.649994,246.100006,211.463333,40068
2012-12-28,247.824997,247.975006,244.324997,247.475006,212.644821,89098
2012-12-31,246.25,250,245.75,249.375,214.277374,41230
2013-01-01,249.975006,251.475006,248.5,250.675003,215.394424,61352
2013-01-02,250.475006,254.5,249.649994,252.149994,216.661835,786810
2013-01-03,254.5,287.450012,253,253.850006,218.122604,463354
2013-01-04,256,256.875,254.024994,255.100006,219.196655,51546
2013-01-07,255,255.824997,250,250.899994,215.587769,37746
2013-01-08,251,253.25,248.824997,250.050003,214.857437,33942
2013-01-09,250.050003,255.024994,249,252.725006,217.155914,472828
2013-01-10,253.925003,254,247.5,248,213.095917,56784
2013-01-11,248,251.949997,244,245.074997,210.582596,90512
2013-01-14,245,245.875,240.774994,242.5,208.369995,427748
2013-01-15,243.074997,245,242.25,243.225006,208.992996,420062
2013-01-16,243.949997,248.449997,242,246.975006,212.21521,116130
2013-01-17,247.175003,247.449997,244.024994,244.949997,210.475189,68786
2013-01-18,243.649994,245.550003,242.5,243.074997,208.86409,70308
2013-01-21,244.425003,245.449997,243,244.75,210.303345,55874
2013-01-22,245.399994,245.5,243,245.074997,210.582596,44000
2013-01-23,245.050003,246.25,240.800003,242.625,208.477402,91392
2013-01-24,245,245,236.25,237.350006,203.944839,57986
2013-01-25,239.5,244,235.100006,242.050003,207.983353,26874
2013-01-28,242.050003,243.75,238.199997,238.949997,205.319656,43768
2013-01-29,240,241,236.5,240.100006,206.3078,68406
2013-01-30,241.949997,241.949997,237.5,237.975006,204.481873,63712
2013-01-31,237.5,247,235,241,207.081116,84222
2013-02-01,246.5,249.449997,234.100006,235.899994,202.698883,86694
2013-02-04,237.5,239.5,234.550003,235.100006,202.01149,37552
2013-02-05,235,235.800003,232.550003,233.550003,200.679626,33866
2013-02-06,233.550003,235.475006,232.050003,232.949997,200.164093,36008
2013-02-07,234.899994,234.899994,230.574997,232.600006,199.863373,27754
2013-02-08,231.5,234.199997,227.949997,232.5,199.77742,150774
2013-02-11,234.850006,236.5,231,234.899994,201.839615,155300
2013-02-12,237.5,239.5,236,238.475006,204.911484,104538
2013-02-13,237.5,243.5,236.550003,241.675003,207.661133,85314
2013-02-14,244,247.675003,240.274994,246.550003,211.849991,149122
2013-02-15,249,259.5,240.5,245,210.518173,57944
2013-02-18,244.524994,248,244.524994,246.899994,212.150742,302092
2013-02-19,248,249.625,244.699997,249.324997,214.234451,54060
2013-02-20,250,251.5,247,249.399994,214.298889,93518
2013-02-21,249.5,254.5,247,252.074997,216.597382,155064
2013-02-22,251.475006,253.75,249.5,250.625,215.351486,102228
2013-02-25,252.75,255,246.625,249.574997,214.449249,34418
2013-02-26,250,250.425003,243.774994,244.850006,210.389282,44024
2013-02-27,244.75,247.5,244,245.550003,210.990753,28760
2013-02-28,249.925003,249.925003,239.5,240.75,206.866302,44338
2013-03-01,242.5,252.5,238.399994,251.050003,215.71666,75828
2013-03-04,251.050003,252.475006,247.5,250.125,214.921829,146970
2013-03-05,250.100006,252,249,250.199997,214.986282,99532
2013-03-06,253.925003,255.725006,250,254.699997,218.852936,306210
2013-03-07,254,264,252.774994,259.600006,223.063293,525138
2013-03-08,260.024994,265.5,259.975006,263.825012,226.693649,1008328
2013-03-11,265.774994,272.450012,265.024994,267.75,230.066269,225510
2013-03-12,271.975006,271.975006,265,268.600006,230.796616,78892
2013-03-13,269.850006,269.950012,267.5,268.600006,230.796616,107898
2013-03-14,267.524994,269.549988,260.5,268.75,230.925507,51796
2013-03-15,270,274.049988,266.125,270.049988,232.042526,403324
2013-03-18,271.475006,274.075012,261.25,273.475006,234.985489,56624
